pol, de
ab,od
Abend,wieczór
acht,osiem
alle,wszyscy; wszystko
und,i
sein,być
in,w
ein,jeden (z)
zu,do; na (przysłówek) za; zbyt
haben,mieć
ich,ja
werden,stać się; stawać się
sie,ona; jej / oni; one + forma grzecznościowa
von,od; z
nicht,nie (przysłówek)
mit,z (przyimek)
es,to
sich,siebie; sobie; się
auch,też; również
auf,na; w (przyimek)
für,dla (przyimek)
an,przy; na ( am - o godzinie; we wtorek)
er,on
so,więc; tak więc; taki; takowy
dass,że; żeby
können,móc; być w stanie
dies,ten; to
als,jak; kiedy / niż
ihr,wy; jej; ich
ja,tak
wie?,jak?
bei,przy; koło; u
oder,lub (spójnik) (o...)
wir,my
aber,ale (spójnik)
dann,potem; następnie
man,zaimek bezosobowy
da,tam; tu; tutaj (obecność)
sein,jego
noch,jeszcze; wciąż
nach,po (czas); w kierunku
was?,co?
also,a więc; zatem
aus,z (pomieszczenia) (przyczyny)
all,wszystek; cały
wenn,jeśli; kiedy (spójnik)
nur,tylko
müssen,musieć
sagen,mówić
um,około; o (czas)
machen,robić; tworzyć
kein,nie (przeczenie) [rzecz]
das Jahr,rok
du,Ty
mein,mój
schon,już
vor,przed; temu (czas)
durch,przez
geben,dawać
mehr,więcej
über,ponad; podczas
andere,drugi; innego; inne
viel,dużo; wiele
kommen,przychodzić; pochodzić
jetzt,teraz
sollen,powienien
mir,to/for mnie
wollen,chcieć
ganz,cały; całkowity; zupełnie
mich,mnie
immer,zawsze
gehen,iść
sehr,bardzo
hier,tutaj
doch,jednak; ale (d...)
bis,[aż] do (czas)
groß,duży; wysoki (g....)
wieder,znowu; znów
das Mal,raz [rzeczownik]
zwei,dwa
gut,dobrze; dobry
wissen,wiedzieć
neu,nowy
sehen,widzieć
lassen,zostawiać
uns,nas
weil,ponieważ; skoro (w....)
unter,pod; poniżej
denn,bo; ponieważ
stehen,stać
jede,każdy(-e; -y)
das Beispiel,przykład
die Zeit,czas
erste,pierwsza(-y; -e)
ihm,jemu; mu; niego
ihn,jego; go; niego
wo?,gdzie?
lang,długi; długa
lange,przez długi czas
eigentlich,prawdziwy; właściwy; rzeczywisty (e...
damit,z [tym]; tym samym; po to by
selbst,samemu; sami
selber,sam
unser,nasz; nas; nasza
oben,na górze; wyżej
wenig,mało; kilka
die Frau,kobieta; żona; pani
der Mensch,człowiek
deutsch,niemiecki (przymiotnik)
das Deutsch,język niemiecki
das Kind,dziecko
etwas,coś; trochę
der Tag,dzień
nun,już (n..)
finden,znaleźć
nichts,nic (zaimek)
bleiben,zostawać; pozostawiać
sondern,lecz (w przeciwieństwie)
klein,mały; niski
zwischen,pomiędzy
alt,stary (przymiotnik)
gegen,przeciw[ko] (zaimek)
liegen,leżeć
ohne,bez (o..)
heute,dziś
weit,szeroko; daleko
heißen,nazywać się
denken,myśleć
eben,równy; równo (e..)
erst,najpierw; dopiero (przysłówek)
natürlich,naturalny; rzeczywisty
ob,czy (spójnik)
hoch,wysoki
beide,oboje
der Mann,mężczyzna; pan; człowiek
einfach,prosty; pojedynczy
vielleicht,[być] może; około
dort,tam (d...)
dabei,przy tym; w pobliżu
einmal,jeden raz
ihnen,im; pani; panu; państwu
welche,które; który; która?
nehmen,brać; wziąć
tun,czynić; robić
seit,od (s...)
seit wann,od kiedy
dürfen,móc; mieć pozwolenie
glauben,wierzyć w coś komuś
Ich glaube,sądzę
halten,trzymać; zatrzymać
nennen,nazywać kogoś
das Land,kraj; ziemia; kraina
letzte,ostatni; na koniec
gleich,równy; taki sam; jednakowy / zaraz
solch,taki; taka; takie
dazu,do tego; nadto; prócz tego
mögen,lubić
die Frage,pytanie
gar,gotowy
gar nichts,zupełnie nic
zeigen,pokazywać coś komuś
führen,prowadzić
möglich,możliwe; możliwy
sprechen,mówić
während,podczas (przyimek) [podczas] kiedy (spójnik)
das Haus,dom
der Fall,upadek; przypadek
eigen,własny; swój; osobny
bringen,przynosić
die Leute,ludzie
schön,piękny; ładny
einige,kilka; trochę
bereits,już (b......)
die Arbeit,praca
leben,żyć
fahren,jechać
meinen,myśleć; uważać
spät,późny
etwa,o (pogadać o czymś); około; przykładowo
wer,kto; ktokolwiek
das Prozent,procent
fragen,pytać
gerade,prosto / właśnie; dopiero co
wichtig,ważny
zwar,wprawdzie; a mianowicie
die Hand,ręka
wirklich,autentyczny; prawdziwy; rzeczywiście
kennen,znać
weitere,dalej
genau,dokładnie
jung,młody
gelten,obowiązywać
die Stadt,miasto
der Herr,pan
das Teil,część; strona
das Problem,problem
die Welt,świat
jedoch,jednak; jednakże
stellen,postawić; ustawić pionowo
darauf,na tym; potem; po t
bisschen,trochę; odrobinę
vier,cztery
nie,nigdy
spielen,grać
denen,tym; którym
das Recht,właściwy; prawy
recht,wszystko dobrze; dosyć; właściwie
arbeiten,pracować
brauchen,potrzebować
folgen,podążać
lernen,uczyć się
das Ende,koniec
kurz,krótki; zwięzły
die Million,milion
stark,mocny; silny; ostry
die Schule,szkoła
die Woche,tydzień
bestehen,zdać; przetrwać; wytrzymać; istnieć
richtig,dobry; poprawny; prawidłowo
dich,Ciebie
dafür,za to
sowie,oraz
oft,często
der Vater,ojciec
die Seite,strona
verschieden,różny
halt,już; właśnie
das Leben,życie
allerdings,jednak; wprawdzie; co prawda
verstehen,rozumieć; pojmować
fast,prawie
fast immer,niemal zawsze
wohl,dobrze; chyba
dein,twój
die Mutter,matka
setzen,siedzieć; stawiać
überhaupt,właściwie; w ogóle; ponadto
der Grund,podstawa; przyczyna
besser,lepszy; lepiej
dir,Tobie; Ci
schnell,szybki; szybko
bekommen,otrzymywać; dostawać; uzyskać (b...)
gern(e),chętnie
das Auge,oko
sicher,pewny; bezpieczny
davon,z tego; od tego; o tym; tego
beginnen,zaczynać; rozpoczynać
erzählen,opowiadać
versuchen,próbować; usiłować
besonders,osobno; bardzo; szczególnie
das Wort,słowo; wyraz
neben,obok; przy
schreiben,pisać
warum,dlaczego?
nächst-,następny; tuż przy
laufen,biec
das Geld,pieniądze
erklären,wyjaśniać; objaśniać; tłumaczyć
die Sache,rzecz; sprawa; kwestia
die Art,rodzaj; forma
politisch,polityczny
entsprechen,być zgodne z czymś; odpowiadać
klar,przejrzysty; wyraźny; jasny
schwer,ciężki; twardy; poważny
der Bereich,zakres; obszar
allein(e),sam; samotny
kaum,z trudem; wątpliwie; ledwo
der Weg,droga; szlak
sitzen,siedzieć
die Stunde,godzina
einzeln,osobny; odosobniony; samotny
deshalb,z tego powodu; dlatego
deren,tej; tych; których
ziehen,ciągnąć; podnosić
na,hmm; no
beziehungsweise,lub też
sogar,nawet
der Name,imię
damals,wówczas; wtedy
fünf,pięć
die Geschichte,historia; opowieść
wegen,z powodu; ze względu na; w sprawie
die Gesellschaft,społeczeństwo; spółka
scheinen,świecić; zdaje się
darüber,ponad tym; nad tym; ponad
fallen,spadać
der Kopf,głowa
gehören,należeć do czegoś
entstehen,powstawać
bekannt,znany; słynny; wiadomy
erhalten,dostawać; otrzymywać; zachowywać (e...)
das Paar,para
paar,kilka; parę
leicht,lekki; prosty; łatwy
die Möglichkeit,możliwość
treffen,spotkać; znajdować
hinter,za; po
sonst,w przeciwnym razie; zazwyczaj; wcześniej; poza tym
daran,przy tym; do tego; na tym
das Unternehmen,przedsiębiorstwo; podmiot gospodarc
dalszy; następnie; potem,weiter
szukać; poszukiwać,suchen
zdjęcie; obraz,das Bild
książka,das Buch
kłaść,legen
woda,das Wasser
miejsce; plac (S...),die Stelle
przedstawiać; prezentować; wyobrażać,vor•stellen
forma; kształt; postać,die Form
handlować czymś; sprzedawać,handeln
marka niemiecka,die Mark
wynalezienie; projekt; rozwój,die Entwicklung
miesiąc,der Monat
sięgać; osiągać; zyskać,erreichen
inny; inaczej,anders
w końcu; na końcu,schließlich
nosić; dźwigać; zawierać,tragen
wcześniej; bardziej,eher
nie dosyć na tym; że,nicht genug damit; dass...
rodzina,die Familie
poranek,der Morgen
jutro,morgen
kiedykolwiek; po; za,je
wieczór,der Abend
dziesięć,zehn
w tym,darin
okrągły; zaokrąglony,rund
około 200 euro,rund 200 €
zadanie; obowiązek; misja; funkcja,die Aufgabe
wolny; swobodny; bezpłatny,frei
uniwersytet; politechnika,die Universität
tworzyć; stworzyć,schaffen
zmysł; sens; cel,der Sinn
wczesny; przedwczesny,früh
czytać,lesen
państwo; stan,der Staat
cel; meta,das Ziel
naprzeciw[ko],gegenüber
przyjaciel,der Freund
temat,das Thema
odmienny; różny,unterschiedlich
stamtąd; stąd,daher
osoba; postać,die Person
zły; niedobry,schlecht
chociaż; choć,obwohl
noc,die Nacht
gubić; tracić,verlieren
rzecz,das Ding
jasny; dobitny,deutlich
ogólny; powszechny; wspólny,allgemein
pokój; pomieszczenie,der Raum
spojrzenie; rzut oka; widok,der Blick
jedyny; jedynie; wyłącznie,einzig
stawiać,stellen
obrazować; przedstawiać,dar•stellen
miejsce; plac,der Platz
liczba; cyfra,die Zahl
wspólny,gemeinsam
bliski; niedaleko,nah(e)
system,das System
zegar; godzina,die Uhr
tego; którego,dessen
rodzice,die Eltern
rozróżniać; zauważać; rozpoznawać,erkennen
wynajdować; układać; rozwijać,entwickeln
wcześniej; miniony; dawniej,früher
ulica,die Straße
opowiadać; rozmawiać,reden
pełny; wypełniony; napełniony,voll
wyglądać; wygląd,aus•sehen
ukazywać,erscheinen
kilka; wiele,mehrere
minuta,die Minute
najpierw,zunächst
grupa,die Gruppe
wartość; być czegoś wartym,der Wert
twarz; wizerunek,das Gesicht
jakoś,irgendwie
język,die Sprache
tworzyć; kształcić,bilden
[po]przez to; przez to,dadurch
bezpośredni; wprost,direkt
miedzynarodowy,international
socialny; społeczny,sozial
zaczynać; rozpoczynać,an•fangen
najlepszy,best-
do teraz; dotąd,bisher
oczekiwać,erwarten
początek,der Anfang
ten sam; tenże; to jest; mianowicie,nämlich
ów; tamten,jene
mieszkać,wohnen
czerwony,rot
otwarty,offen
miejsce; miejscowość,der Ort
no tak,na ja
moment; chwila,der Moment
dotyczyć; odnosić się do czegoś,betreffen
przeważnie; na ogół,meist
czekać; oczekiwać na kogo�,warte
skutek; konsekwencja; ciąg,die Folge
odtąd; od (czas),ab
szczególna(-y; -e); specjalna(-y; -e),besonder-
pewien; pewny,gewiss
zainteresowanie; interes,das Interesse
czasami; niekiedy,manchmal
miliard,die Milliarde
zwój; rola; rolka,die Rolle
ktoś,jemand
upływać,vergehen
publiczny; powszechny; ogólny,öffentlich
drzwi,die Tür
ramię; bark,Schulter
uczeń; uczennica,der Schüler
znaczenie; sens,die Bedeutung
tekst,der Text
ach!,ach
rezultat; wynik,das Ergebnis
pomagać,helfen
wojna,der Krieg
nikt,niemand
wygrywać; zyskiwać,gewinnen
połowa; pół,halb
zamykać; zawierać,schließen
sposób; mędrzec,die Weise
rząd; władza,die Regierung
prawdopodobnie; prawdopodobny,wahrscheinlich
europejski,europäisch
kawałek; odcinek,das Stück
mieszkanie,die Wohnung
czuć; odczuwać,fühlen
rozmowa; konwersacja,das Gespräch
oferować; dawać; przestawiać,bieten
interesować się,interessieren
być zainteresowanym,sich interessieren
znaczny; istotny,wesentlich
przypominać,erinnern
przypominać sobie,sich erinnern
licznik,der Meter
temu,her
punkt; kropka; miejsce,der Punkt
sytuacja,die Situation
podobny; podobnie,ähnlich
poddańczy; uniżony; oddany,ergeben
przeciwko temu; w przeciwieństwie,dagegen
częsty; często (h...),häufig
to zależy od tego; czy Irak jest zainteresowany naszą pomocą,das haengt davon ab; ob... der Irak an unserer Hilfe interessiert ist.
nauczyciel,der Lehrer
oferować; proponować,an•bieten
tak samo; równie; podobnie,ebenso
studiować,studieren
potem; następnie,danach
cena; nagroda,der Preis
ilustracja,die Abbildung
pojęcie; wyobrażenie,der Begriff
czynność; działalność; funkcja,die Funktion
opatrywać; łączyć,verbinden
dość; dosyć,ziemlich
spoglądać; obserwować,ansehen
podłoga; gleba; grunt,der Boden
brakować,fehlen
wiek; stulecie,das Jahrhundert
syn,der Sohn
praca; zakład,das Werk
oznaczać; znaczyć; sygnalizować,bedeuten
czarny,schwarz
porównywać,vergleichen
poza tym; oprócz tego,außerdem
w międzyczasie,inzwischen
natychmiast; od razu,sofort
wsiadać; wznosić; rosnąć,steigen
głos,die Stimme
nagle; nagły,plötzlich
to zależy od tego; czy Irak jest zainteresowany naszą pomocą,das haengt davon ab; ob... der Irak an unserer Hilfe interessiert ist.
rama; oprawa,der Rahmen
kierunek,die Richtung
całkowity; zupełny; kompletny,völlig
program; rozkład,das Programm
strach; niepokój,die Angst
niewielki; mały; niski,gering
informacja,die Information
sztuka,die Kunst
muzyka,die Musik
oglądać,schauen
trudny,schwierig
polityka,die Politik
porzucić; zostawić; opuszczać,verlassen
jakiś; niejeden,manch-
wkrótce; zaraz,bald
wstawiać; wprowadzać,ein•setzen
zawód,der Beruf
praktyczny,praktisch
zmieniać; przekształcać,ändern
wystarczająco,genug
osobisty; własny; prywatny,persönlich
rosnąć; wzrastać,wachsen
wychodzić,aus•gehen
reguła; zasada/miesiączka,die Regel
krok,der Schritt
-roczny; -letn,-jähri
obcas; obroty; akapit,xder Absatz
stać się; wydarzyć się,geschehen
Bóg,der Gott
auto; samochód,das Auto
opisywać; przedstawiać,beschreiben
związek,die Beziehung
doświadczenie,die Erfahrung
stół,der Tisch
przyjmować,an•nehmen
skończony; nareszcie,endlich
dostawać; otrzymywać,kriegen
przyszłość,die Zukunft
planować,planen
gra,das Spiel
działać; skutkować,wirken
czucie; uczucie,das Gefühl
światło,das Licht
nowoczesny,modern
prezydent,der Präsident
głęboki,tief
określać; oznaczać; nazywać,bezeichen
market,der Markt
bank,die Bank
w ciągu; wewnątrz; w obrębie,innerhalb
w szczególności,insbesondere
partia,die Partei
autentyczny; prawdziwy; w rzeczywistości (t...),tatsächlich
córka,die Tochter
być (b...),befinden (sich)
zdarzyć; wydarzyć,passieren
porównanie; proporcja; stosunek,das Verhältnis
dodatkowo,zusätzlich
kościół,die Kirche
z powodu; na podstawie,aufgrund
tam,hin
amerykański,amerikanisch
również; także,ebenfalls
po (spójnik),nachdem
dzwonić; wzywać; wołać,rufen
gospodarny; ekonomiczny,wirtschaftlich
zawierać; nagrywać,aufnehmen
myśl; pomysł; zamiar,der Gedanke
wczoraj,gestern
interesujący; coś interesującego,interessant
zwiększać; wzmagać; rosnąć,zunehmen
określać; decydować,bestimmen
żądać; twierdzić,fordern
podobać się,gefallen
dziewczyna; dziewczynka,das Mädchen
otwierać,öffnen
uderzać; pobić,schlagen
mimo tego; pomimo,trotz
zanim,bevor
decyzja; postanowienie,die Entscheidung
proces,der Prozess
względny; relatywny,relativ
stosunkowo często,relativ oft
nadepnąć; kopać,treten
przedsiębiorstwo; zakład,der Betrieb
proszę,bitte
jednoczesny; równoczesny,gleichzeitig
przejmować; obejmować,übernehmen
zmieniać; odmieniać; modyfikować,verändern
związek; kontest,der Zusammenhang
w związku z,im Zusammenhang mit
prawo; ustawa,das Gesetz
razem,zusammen
ramię,der Arm
firma; przesiębiorstwo,die Firma
zielony,grün
w każdym razie,jedenfalls
siła; moc; działanie,die Kraft
śmiać się,lachen
student,der Student
używać; stosować,verwenden
biały,Weiß
wybierać,wählen
dom,das Zuhause
w domu,zuhause
szansa; okazja,die Chance
przy czym; podczas tego,wobei
wynikać; następować,erfolgen
cały; wszystek,gesamt
siedem,sieben
specjalny; szczególny,speziell
gazeta,die Zeitung
zawierać,enthalten
tylko (b...),bloß
przyglądać się; rozważać; rozpatrywać,betrachten
decydować o czymś; wyjaśniać,entscheiden
sukces; wynik; skutek,der Erfolg
udać się (sukces),gelingen
granica,die Grenze
za każdym razem; każdorazowo,jeweils
kupować,kaufen
zdanie,der Satz
kiedy; w jakich przypadkach,wann
propozycja; oferta; promocja,das Angebot
dookoła/dlatego,darum
decydując,entscheidun
internet,das Internet
na; za (osobę; sztukę),pro
za (i przeciw),das Pro
na dole,unten
wąski; ciasny,eng
ogólnie,insgesamt
ogólnie rzecz biorąc,insgesamt gesehen
kultura; cywilizacja,die Kultur
techniczny/technicznie,technisch
zapominać,vergessen
sytuacja; położenie,die Lage
być zdolnym do zrobienia czegoś,in der Lage sein
usługa; rezultat,die Leistung
członek,das Mitglied
odbywać się; mieć miejsce,stattfinden
przedtem,vorher
przykładowo,beispielsweise
wprawiać w ruch; poruszać się,bewegen
ustalać; badać; zatrzymywać,feststellen
powolny; powoli; wolno,langsam
projekt,das Projekt
znikać,verschwinden
służyć,dienen
pić,trinken
pokój,das Zimmer
szef,der Chef
przeważnie; głównie,meist/meistens
ciągle; stale,ständig
pociąg,der Zug
w toku,im Zuge
lekarz,der Arzt
pojawiać się; występować,auftreten
zachowanie,das Auftreten
stopa,der Fuß
ciało,der Körper
potrzebny; niezbędny; konieczny,notwendig
klasa; kategoria,die Klasse
rozwiązanie,die Lösung
czysty,rein
zarówno,sowohl
zarówno... jak i [oder też] ...,sowohl ... als auch ...
zgadzać się,stimmen
zgadza się,das stimmt
pomimo to; jednak,trotzdem
zachowywać się,verhalten
zachowanie; postawa,das Verhalten
poza tym,zudem
relacjonować; donosić,berichten
angielski,englisch
wysokość,die Höhe
w wysokości,in Höhe
chłopiec,der Junge
liczyć; wyliczać,rechnen
naukowy,wissenschaftlich
oglądać; obserwować,beobachten
okno; okienko,das Fenster
powietrze,die Luft
w powietrzu,in der Luft
zdanie; pogląd; opinia,die Meinung
przeżyć; przeżywać,erleben
błędny; nieprawidłowy; niewłaściwy,falsch
obcny; cudzy,fremd
przynosić; sprowadzać,holen
pomysł,die Idee
niestety,leider
produkt; wyrób,das Produkt
francuski,französisch
przynajmniej; co najmniej,mindestens
rzadki; niezwykły,selten
studia,das Studium
porównanie,der Vergleich
w porównaniu z [...],im Vergleich zu
środek; sposób; lek,das Mittel
model; wzorzec,das Modell
zwykły; normalny,normal
przynajmniej/w każdym razie,zumindest
natura; przyroda,die Natur
łóżko,das Bett
jeść,essen
klient; klientka,der Kunde
pracownik; współpracownik,der Mitarbeiter
starczać/dosięgać,reichen
umierać,sterben
narzędzie,der Tool
rozróżniać,unterscheiden
prawdziwy,wahr
transakcja; interes,das Geschäft
dokonywać,Leisten
osobisty; prywatny,privat
żart; przyjemność; zadowolenie,der Spaß
martwy; zmarły,tot
gospodarka,die Wirtschaft
gdzieś; gdziekolwiek,irgendwo
zwierzę,das Tier
żądać; domagać się czegoś,verlangen
rzucać; wyrzucać,werfen
ruch; gest,die Bewegung
stały; silny,fest
gość,der Gast
bezpFieczeństw,die Sicherhei
wstawka; wkładka,der Einsatz
obszar; terytorium; strefa,das Gebiet
być obecny,vorliegen
liczyć,zählen
wdzięczność,der Dank
dziękuję bardzo,vielen Dank
kolega,der Kollege
koleżanka,die Kollegin
życzyć,wünschen
informacja; oświadczenie,die Angabe
budować; wić,bauen
brat,der Bruder
wieszać; powiesić,hängen
mieć nadzieje,hoffen
korzystny; pozytywna,positiv
chyba że; poza; oprócz,außer
cieszyć,freuen
cieszyć się,freuen (sich)
dzielić się; podzielić się,teilen
zarządzanie,die Verfügung
być do dyspozycji,zur Verfügung stehen
zapewnić do dyspozycji,zur Verfügung stellen
opłacać; płacić,bezahlen
trwać; potrwa,dauern
wam; sobie (wyobraźcie sobie),euch
przedmiot; dziedzina,das Fach
serce,das Herz
kontakt,der Kontakt
ilość,die Menge
wkładać; wtykać,stecken
odwiedzać; wizytować,besuchen
lato,der Sommer
różnica,der Unterschied
centralny; centralnie,zentral
roszczenie; wymaganie,der Anspruch
odpowiedź,die Antwort
prosić,bitten
troszczyć; dbać,sorgen
zamiast,statt
powiązanie; połączenie,die Verbindung
w połączeniu z,in Verbindung mit
przedstawienie; wyobrażenie;,die Vorstellung
przybywać,ankommen
aplikacja; użycie,die Anwendung
odnosić się; wprowadzać; dostać,beziehen
gotowy; skończone,fertig
czuć; odczuwać (s....),spüren
ani... ani...,weder... noch...
wiek,das Alter
zasadniczy; fundamentalny,grundsätzlich
koszty; wydatki,die Kosten
pacjent,der Patient
Policja,die Polizei
teatr,das Theater
najpierw; na początku,zuerst
wykształcenie; kształcenie; edukacja,die Ausbildung
szeroko,breit
podwyższać; wzrastać,erhöhen
twardy; silny; gwałtowny,hart
dostępny; istniejący,vorhanden
niebezpieczeństwo; ryzyko,die Gefahr
sprzęt; urządzenie; narzędzie,das Gerät
wewnętrzny,innere (r;s)
kilometr,der Kilometer
bezwarunkowy; bezwzględny/koniecznie,unbedingt
pomoc,die Hilfe
donosić; informować; zgłaszać,melden
komputer,der Computer
dolar,der Dollar
na zewnątrz; poza,hinaus
przyszły,künftig
metoda; proces,das Verfahren
umowa,der Vertrag
występować; zdarzać się; wydawać się,vorkommen
ostatnio; w końcu,zuletzt
aha; widzę,aha
posiadać; mieć,besitzen
podkreślać,betoten
jednak[że]; pomimo (d....),dennoch
realizować; spełniać; wypełniać,erfüllen
historyczny,historisch
niewielki; obcisły; ciasny; niewystarczający,knapp
chętniej; raczej,lieber
krok; środek; działanie; posunięcie,die Maßnahme
środek; centrum,die Mitte
na środku; po środku,in der Mitte
październik,der Oktober
porządek/regulamin,die Ordnung
i dlatego,sodass
materiał; substancja,der Stoff
jednocześnie,zugleich
początek; rozpoczęcie,der Beginn
radość; szczęście,das Glück
weekend,das Wochenende
profesor,der Proffesor
rząd; szereg,die Reihe
szereg; seria,eine Reihe von
zachód,der Westen; West
uczestniczyć,beteiligen
ludność; zaludnieni,die Bevölkerun
przez to; że / podczas gdy,indem
instytut,das Institut
zauważyć; zapamiętać,merken
znowu; jeszcze raz,nochmal
wschód,der Osten
dobrze leżeć; pasować,passen
siostra,die Schwester
aktualny; modny,aktuell
dziękuję,danke
obecnie; wówczas,derzeit
nadawać się do czegoś,eignen (sich)
ziemia; świat; gleba,die Erde
kierować; naprawiać,richten
zawierać; obejmować,umfassen
równina; poziom,die Ebene
cokolwiek,irgendetwas; irgendwas
podróż,die Reise
spać,schlafen
pozostały,übrig
poza tym (im ...),im Übrigen
wspierać; wspomagać,unterstützen
przedtem; wcześniej; najpierw,zuvor
jednostka; jedność,die Einheit
włosy,das Haar
uśmiechać się,lächeln
uśmiech,das Lächeln
poniedziałek,der Montag
bliskość; obecność,die Nähe
nieopodal,in der Nähe
zasada,das Prinzip
w zasadzie,im Prinzip
fatalny; feralny; zły; niedobry,schlimm
gorzej,schlimmer
częściowy; częściowo,teilweise
zaleta; korzyść,der Vorteil
zatrudniać; zająć kogoś,beschäftigen
z tego,daraus
oddzielać; luzować,lösen
struktura,die Struktur
odpowiadać,antworten
autor,der Autor
warunek,die Bedingung
grzeczny; miły,lieb
razem; wszyscy razem,miteinander
ryzyko,das Risiko
dzielić; rozdzielać,trennen
wybór; wybory,die Wahl
efekt; działanie; skutek,die Wirkung
list,der Brief
ustawiań; zatrudniać; wstrzymywać,einstellen
wielkość; powierzchnia; wzrost,die Größe
kochać,lieben
media,die Medien
niedziela,der Sonntag
ciemny,dunkel
koniecznie (d...),durchaus
przeprowadzać; realizować,durchführen
wystarczyć,genügen
według; zgodnie z,laut
siła; potęga,die Macht
przeważnie; na ogół,meistens
oczywisty; jawny,offenbar
prawy,rechte (r;s)
badanie; analiza; sprawdzenie,die Untersuchung
zmiana; modyfikacja,die Veränderung
montować; instalować,aufbauen
potwierdzać; zatwierdzać,bestätigen
dane; fakty,die Daten
dlatego; z tego powodu,deswegen
wpływ; oddziaływanie,der Einfluss
metoda; sposób,die Methode
wszędzie,überall
organizacja,die Organisation
badać; sprawdzać; analizować,untersuchen
liczny; licznie,zahlreich
z drugiej strony,andererseits
skuteczny; z powodzeniem,erfolgreich
konkretny; realny,konkret
miłość,die Liebe
mowa; przemówienie,die Rede
sport,der Sport
sprzedawać,verkaufen
światowy,weltweit
chwila,der Augenblick
chwilowo,im Augenblick
spoglądać; patrzeć,blicken
dyskusja,die Diskussion
nacisnąć,drücken
iść; nadchodzić,eingehen
żądanie; postulat,die Forderung
urodzić,geboren
koło; krąg; okręg,der Kreis
ludzki,menschlich
regularnie; notorycznie,regelmäßig
technika,die Technik
próba; doświadczenie; eksperyment,der Versuch
aktywny,aktiv
wystarczyć [dla kogoś/na coś],ausreichen
milczeć,schweigen
milczeni,das Schweige
traktować; obchodzić się z kimś/czymś,behandeln
choroba,die Krankheit
trudność,die Schwierigkeit
państwowy,staatlich
zajęcie; praca zawodowa,die Tätigkeit
prowadzić; gnać (ludzi),treiben
przekonywać,überzeugen
warunek; założenie; wymóg,die Voraussetzung
używać; wykorzystywać,benutzen
wygrażać; zagrażać; grozić,drohen
były; dawny,ehemalig
zimny; zimno; chłodno,kalt
walka; bój,der Kampf
artysta(-tka),der Künstler(in)
od dawna; dawno temu,längst
region,die Region
zawsze,stets
obiecywać,versprechen
dwanaście,zwölf
wrażenie,der Eindruck
odkrywać; znajdować,entdecken
obecny; ówczesny,jeweilig
rozbrzmiewać; dzwonić,klingen
reagować,reagieren
reakcja,die Reaktion
składka / artykuł,der Beitrag
pod tym,darunter
konieczny (e.......),erforderlich
dzisiejszy,heutig
projekt; pomysł; plan,das Konzept
kosztować,kosten
kulturowy; kulturowo; kulturalnie,kulturell
tylko; wyłącznie,lediglich
linia,die Linie
przede wszystkim,in erster Linie
usta,der Mund
szwajcarski,schweizer
Frankonia,Schweizer Franken
suwerenny; niepodległy; niezależny,unabhängig
zarabiać; zasłużyć,verdienen
życzenie; życzenia,der Wunsch
artykuł; produkt,der Artikel
obracać; przekręcać; skręcać,drehen
spokojny; stonowany / naprawdę,ruhig
tak więc; niniejszym,somit
bezpośredni,unmittelbar
świadomy,bewusst
finansowy; pieniężny,finanziell
przeciwieństwo,der Gegensatz
w przeciwieństwie do,im Gegensatz zu
rozdział,das Kapitel
klasyczny,klassisch
literatura,die Literatur
plecy,der Rücken
nadal; ponadto,weiterhin
cela,die Zelle
wypowiedź; zeznanie,die Aussage
berliński,Berliner
obywatel(-ka); mieszkaniec,der Bürger(in)
gorący,heiß
niebo,der Himmel
w końcu; przynamniej (i....),immerhin
zawartość; treść,der Inhalt
zaskakiwać; dziwić,überraschen
ściana,die Wand
prowadzić; trudnić się; utrzymywać,betreiben
biblioteka,die Bibliothek
prawdziwy; autentyczny; naturalny,echt
farba; kolor; barwa,die Farbe
lecieć; latać,fliegen
podnosić; unosić,heben
młodzieniec,der Jugendliche
miara,das Maß
dziewieć,neun
pchnąć; zderzyć się,stoßen
drogi; drogo,teuer
reprezentować,vertreten
nasadka,der Ansatz
aspekt,der Aspekt
noga,das Bein
pamięć,die Erinnerung
umożliwiać komuś coś,ermöglichen
tak samo,genauso
produkować; wytworzyć,herstellen
sto,hundert
jakiś; jakikolwiek,irgendein
wiedza; wiadomość,die Kenntnis
kurs,der Kurs
cierpieć,leiden
papier,das Papier
wysyłać; posyłać,schicken
sekunda,die Sekunde
słońce,die Sonne
okoliczność; warunek,der Umstand
ewentualnie,unter Umständen
z przodu; od przodu,vorn
zmieniać; wymieniać; rozmieniać,wechseln
być nieobecnym; odejść; zniknąć,weg
nauka,die Wissenschaft
ogród,der Gar